ID,Hours_Studied,Attendance,Internal_Score,Lab_Marks,CGPA,PartTime_Job,Sleep_Hours,Internet_Usage,Social_Activity,Final_Exam_Score
1,6,84,46,44,8.44,0,5.3,1.9,5,55.6
2,4.7,86,61,35,6.98,0,8.3,3.8,9,40.8
3,6.3,91,70,44,7.6,0,7,0,8,68.7
4,8,91,71,47,7.04,1,5.7,3.4,5,66.1
5,4.5,66,63,42,7.07,0,3.5,3,8,41.2
6,4.5,71,79,49,7.19,1,8.3,4.2,3,62.1
7,8.2,85,54,36,7.72,0,4.6,3.2,7,54.7
8,6.5,85,68,34,7.02,0,4.4,1.1,3,69.2
9,4.1,85,72,31,8.76,1,7,5.4,1,59.8
10,6.1,100,78,47,6.61,1,8.4,2.7,9,60.1
11,4.1,86,81,43,7.31,1,7.4,2.9,8,58.9
12,4.1,91,53,40,7.06,1,6.6,1.1,4,53.2
13,5.5,90,47,41,8.95,0,6.6,2.1,3,69.3
14,1.2,87,89,34,7.7,1,6.9,1.2,1,61.8
15,1.6,77,75,50,8.53,0,6.8,2.7,0,65.3
16,3.9,88,59,41,6.01,1,6.3,6.4,6,47.9
17,3,72,93,41,7.77,0,6.1,0.3,5,63.6
18,5.6,78,72,44,8.39,1,5.9,0,1,71.1
19,3.2,75,88,42,7.58,0,5.2,5.9,7,62.1
20,2.2,81,71,41,8.57,0,5.7,2.6,3,68.7
21,7.9,100,100,36,6.98,0,4.3,1.7,7,61.8
22,4.5,61,96,42,8.91,1,5.9,5.1,6,56.7
23,5.1,87,66,49,9.8,0,5,1.8,4,74.9
24,2.2,64,85,47,7.14,0,4.9,6.7,9,40.6
25,3.9,75,80,48,7.05,0,6.2,4.4,9,56.9
26,5.2,91,91,37,8.95,0,7.4,2,7,73.4
27,2.7,81,56,35,9.08,1,6.9,7.3,8,39.3
28,5.8,69,80,39,6.98,0,4.4,1.8,4,63.8
29,3.8,73,86,40,7.08,1,5,4.5,9,51.2
30,4.4,87,44,45,7.22,0,6.9,3.6,4,57.5
31,3.8,73,52,32,6.16,0,5,5.6,1,42.4
32,8.7,82,39,48,6.58,1,5.8,6.1,4,46.1
33,5,80,66,39,6.5,0,6.6,3.1,2,49.4
34,2.9,73,81,38,6.73,0,5,1.5,6,46.2
35,6.6,100,93,35,7.47,0,6.1,3.9,9,65.7
36,2.6,86,71,32,7.73,1,4.7,1.6,4,64.8
37,5.4,60,94,44,9.05,0,5.4,7,7,56.6
38,1.1,82,49,40,6.5,1,6.3,3.3,0,51.3
39,2.3,73,44,34,8.48,1,4.4,2.3,2,50.7
40,5.4,89,69,34,7.29,0,6.4,3.4,2,57.6
41,6.5,72,76,38,7.45,0,6,0.3,8,58
42,5.3,79,70,48,8.17,0,6.6,1.1,4,67.4
43,4.8,85,39,39,6.38,0,6.2,5.4,8,40.7
44,4.4,89,69,32,7.88,0,7.4,1.7,8,63.4
45,2,68,50,39,7.67,0,6.1,0.9,0,58.4
46,3.6,77,80,39,7.99,0,5.6,4.1,1,64.8
47,4.1,75,75,27,7.79,1,6.1,5.4,4,55.8
48,7.1,73,56,40,9.96,1,6.5,4.4,3,54.4
49,5.7,98,62,39,6.86,1,6,5,9,54
50,1.5,84,54,43,6.97,0,6,1.5,8,51
51,5.6,67,69,49,6.88,0,5.3,0.2,6,59.5
52,4.2,89,84,46,6.94,0,5.3,6,5,56.4
53,3.6,100,55,39,6.86,1,4.6,2.4,6,51
54,6.2,90,78,34,8.69,0,7.7,2.5,0,72.5
55,7.1,65,62,50,8.92,1,4.8,5.7,0,46.7
56,6.9,75,58,40,6.93,0,5.3,4.1,7,48.5
57,3.3,93,68,40,6.67,0,5.3,3.9,1,54
58,4.4,73,54,40,7.97,1,6.9,7.3,9,44
59,5.7,84,62,41,6.95,0,5.7,1.7,8,61.2
60,7,88,52,39,8.13,1,7.2,4.9,6,47.7
61,4,71,99,37,7.7,1,5.3,3.1,5,61.9
62,4.6,79,71,37,5.98,0,6.3,3.5,0,63
63,2.8,50,60,40,9.05,0,5.2,6.1,0,55.1
64,2.6,70,73,37,9.3,0,8.1,4,1,63.2
65,6.6,77,68,36,6.89,1,4.8,4.1,5,54.9
66,7.7,68,67,41,7.11,0,6.3,5.1,5,48.3
67,4.9,96,79,39,7.79,0,6.6,2.3,1,71.8
68,7,66,81,48,7.83,0,6.4,1.3,0,65.3
69,5.7,76,62,27,8.16,1,5.8,0.9,9,48
70,3.7,81,61,45,9.51,0,5.9,0,4,67.7
71,5.7,94,66,46,7.32,1,6,7.1,4,56.3
72,8.1,66,35,30,6.7,1,5.9,0.8,1,53.7
73,4.9,92,47,38,6.12,0,7,2.6,5,54.7
74,8.1,80,91,38,6.77,0,8.2,2.4,8,64.2
75,0,70,95,33,7.47,1,5.4,3.6,1,62.2
76,6.6,85,66,36,9.29,0,4.6,4.6,9,70.8
