ID,Hours_Studied,Attendance,Internal_Score,Lab_Marks,CGPA,PartTime_Job,Sleep_Hours,Internet_Usage,Social_Activity,Final_Exam_Score
1,6.0,84.0,46.0,44.0,8.44,0,5.3,1.9,5,55.6
2,4.7,86.0,61.0,35.0,6.98,0,8.3,3.8,9,40.8
3,6.3,91.0,70.0,44.0,7.6,0,7.0,0.0,8,68.7
4,8.0,91.0,71.0,47.0,7.04,1,5.7,3.4,5,66.1
5,4.5,66.0,63.0,42.0,7.07,0,3.5,3.0,8,41.2
6,4.5,71.0,79.0,49.0,7.19,1,8.3,4.2,3,62.1
7,8.2,85.0,54.0,36.0,7.72,0,4.6,3.2,7,54.7
8,6.5,85.0,68.0,34.0,7.02,0,4.4,1.1,3,69.2
9,4.1,85.0,72.0,31.0,8.76,1,7.0,5.4,1,59.8
10,6.1,100.0,78.0,47.0,6.61,1,8.4,2.7,9,60.1
11,4.1,86.0,81.0,43.0,7.31,1,7.4,2.9,8,58.9
12,4.1,91.0,53.0,40.0,7.06,1,6.6,1.1,4,53.2
13,5.5,90.0,47.0,41.0,8.95,0,6.6,2.1,3,69.3
14,1.2,87.0,89.0,34.0,7.7,1,6.9,1.2,1,61.8
15,1.6,77.0,75.0,50.0,8.53,0,6.8,2.7,0,65.3
16,3.9,88.0,59.0,41.0,6.01,1,6.3,6.4,6,47.9
17,3.0,72.0,93.0,41.0,7.77,0,6.1,0.3,5,63.6
18,5.6,78.0,72.0,44.0,8.39,1,5.9,0.0,1,71.1
19,3.2,75.0,88.0,42.0,7.58,0,5.2,5.9,7,62.1
20,2.2,81.0,71.0,41.0,8.57,0,5.7,2.6,3,68.7
21,7.9,100.0,100.0,36.0,6.98,0,4.3,1.7,7,61.8
22,4.5,61.0,96.0,42.0,8.91,1,5.9,5.1,6,56.7
23,5.1,87.0,66.0,49.0,9.8,0,5.0,1.8,4,74.9
24,2.2,64.0,85.0,47.0,7.14,0,4.9,6.7,9,40.6
25,3.9,75.0,80.0,48.0,7.05,0,6.2,4.4,9,56.9
26,5.2,91.0,91.0,37.0,8.95,0,7.4,2.0,7,73.4
27,2.7,81.0,56.0,35.0,9.08,1,6.9,7.3,8,39.3
28,5.8,69.0,80.0,39.0,6.98,0,4.4,1.8,4,63.8
29,3.8,73.0,86.0,40.0,7.08,1,5.0,4.5,9,51.2
30,4.4,87.0,44.0,45.0,7.22,0,6.9,3.6,4,57.5
31,3.8,73.0,52.0,32.0,6.16,0,5.0,5.6,1,42.4
32,8.7,82.0,39.0,48.0,6.58,1,5.8,6.1,4,46.1
33,5.0,80.0,66.0,39.0,6.5,0,6.6,3.1,2,49.4
34,2.9,73.0,81.0,38.0,6.73,0,5.0,1.5,6,46.2
35,6.6,100.0,93.0,35.0,7.47,0,6.1,3.9,9,65.7
36,2.6,86.0,71.0,32.0,7.73,1,4.7,1.6,4,64.8
37,5.4,60.0,94.0,44.0,9.05,0,5.4,7.0,7,56.6
38,1.1,82.0,49.0,40.0,6.5,1,6.3,3.3,0,51.3
39,2.3,73.0,44.0,34.0,8.48,1,4.4,2.3,2,50.7
40,5.4,89.0,69.0,34.0,7.29,0,6.4,3.4,2,57.6
41,6.5,72.0,76.0,38.0,7.45,0,6.0,0.3,8,58.0
42,5.3,79.0,70.0,48.0,8.17,0,6.6,1.1,4,67.4
43,4.8,85.0,39.0,39.0,6.38,0,6.2,5.4,8,40.7
44,4.4,89.0,69.0,32.0,7.88,0,7.4,1.7,8,63.4
45,2.0,68.0,50.0,39.0,7.67,0,6.1,0.9,0,58.4
46,3.6,77.0,80.0,39.0,7.99,0,5.6,4.1,1,64.8
47,4.1,75.0,75.0,27.0,7.79,1,6.1,5.4,4,55.8
48,7.1,73.0,56.0,40.0,9.96,1,6.5,4.4,3,54.4
49,5.7,98.0,62.0,39.0,6.86,1,6.0,5.0,9,54.0
50,1.5,84.0,54.0,43.0,6.97,0,6.0,1.5,8,51.0
51,5.6,67.0,69.0,49.0,6.88,0,5.3,0.2,6,59.5
52,4.2,89.0,84.0,46.0,6.94,0,5.3,6.0,5,56.4
53,3.6,100.0,55.0,39.0,6.86,1,4.6,2.4,6,51.0
54,6.2,90.0,78.0,34.0,8.69,0,7.7,2.5,0,72.5
55,7.1,65.0,62.0,50.0,8.92,1,4.8,5.7,0,46.7
56,6.9,75.0,58.0,40.0,6.93,0,5.3,4.1,7,48.5
57,3.3,93.0,68.0,40.0,6.67,0,5.3,3.9,1,54.0
58,4.4,73.0,54.0,40.0,7.97,1,6.9,7.3,9,44.0
59,5.7,84.0,62.0,41.0,6.95,0,5.7,1.7,8,61.2
60,7.0,88.0,52.0,39.0,8.13,1,7.2,4.9,6,47.7
61,4.0,71.0,99.0,37.0,7.7,1,5.3,3.1,5,61.9
62,4.6,79.0,71.0,37.0,5.98,0,6.3,3.5,0,63.0
63,2.8,50.0,60.0,40.0,9.05,0,5.2,6.1,0,55.1
64,2.6,70.0,73.0,37.0,9.3,0,8.1,4.0,1,63.2
65,6.6,77.0,68.0,36.0,6.89,1,4.8,4.1,5,54.9
66,7.7,68.0,67.0,41.0,7.11,0,6.3,5.1,5,48.3
67,4.9,96.0,79.0,39.0,7.79,0,6.6,2.3,1,71.8
68,7.0,66.0,81.0,48.0,7.83,0,6.4,1.3,0,65.3
69,5.7,76.0,62.0,27.0,8.16,1,5.8,0.9,9,48.0
70,3.7,81.0,61.0,45.0,9.51,0,5.9,0.0,4,67.7
71,5.7,94.0,66.0,46.0,7.32,1,6.0,7.1,4,56.3
72,8.1,66.0,35.0,30.0,6.7,1,5.9,0.8,1,53.7
73,4.9,92.0,47.0,38.0,6.12,0,7.0,2.6,5,54.7
74,8.1,80.0,91.0,38.0,6.77,0,8.2,2.4,8,64.2
75,0.0,70.0,95.0,33.0,7.47,1,5.4,3.6,1,62.2
76,6.6,85.0,66.0,36.0,9.29,0,4.6,4.6,9,70.8
77,5.2,82.0,79.0,34.0,6.98,1,5.9,4.7,1,48.9
78,4.4,74.0,75.0,49.0,7.72,0,8.6,1.8,2,61.2
79,5.2,81.0,100.0,45.0,7.48,0,5.2,2.7,6,74.2
80,1.0,76.0,87.0,46.0,8.69,1,7.6,3.6,5,58.4
81,4.6,81.0,68.0,44.0,10.0,0,7.7,2.5,7,68.4
82,5.7,87.0,56.0,34.0,6.97,0,5.4,6.2,7,49.8
83,8.0,96.0,46.0,37.0,7.01,0,6.6,4.0,5,66.1
84,4.0,68.0,73.0,42.0,8.54,0,7.6,4.5,9,46.6
85,3.4,100.0,59.0,34.0,8.18,0,5.6,4.3,2,69.3
86,4.0,60.0,49.0,44.0,9.35,0,5.8,5.3,2,60.6
87,6.8,78.0,60.0,39.0,8.08,1,5.4,3.4,0,54.0
88,5.7,86.0,54.0,38.0,7.14,0,5.0,0.4,6,62.4
